"","Year","Trip No","Set No","G Stat Area","Start Latitude Decimal Degrees","Start Longitude Decimal Degree","total_hagfish"
"39",1998,2,14,315432,54.746667,-131.7305,2
"40",1998,2,16,315432,54.838333,-131.710833,2
"41",1998,2,17,315432,54.84,-131.88,6
"42",1998,2,18,315432,54.798833,-131.843333,4
"43",1999,1,1,315502,55.012667,-131.722333,1
"44",1999,1,2,315502,55.062667,-131.837667,1
"45",1999,1,5,315502,55.292167,-131.9365,7
"46",1999,1,6,315502,55.328833,-131.9995,3
"47",1999,1,7,315502,55.3665,-131.983167,4
"48",1999,1,8,315502,55.4045,-131.937333,1
"49",1999,1,10,315502,55.477667,-131.987167,1
"50",1999,1,11,325531,55.502333,-132.135,2
"51",1999,1,12,325531,55.570167,-132.227833,1
"52",1999,1,14,325531,55.6335,-132.312833,13
"53",1999,1,15,325531,55.625617,-132.27475,11
"54",1999,1,16,325531,55.602,-132.2955,1
"55",1999,1,17,325531,55.587833,-132.2575,8
"56",1999,2,1,315432,54.9255,-131.802667,1
"57",1999,2,2,315432,54.919833,-131.858333,9
"58",1999,2,3,315432,54.875167,-131.941667,7
"59",1999,2,4,315432,54.888833,-131.93,1
"60",1999,2,10,315431,54.627667,-131.693167,1
"61",1999,2,13,315432,54.7745,-131.711667,2
"62",1999,2,15,315432,54.7015,-131.733333,3
"63",1999,2,17,315432,54.813,-131.883,3
"64",1999,2,18,315432,54.783333,-131.845,3
"65",2000,1,1,315502,55.4865,-132.027167,1
"66",2000,1,2,315502,55.432167,-131.987167,1
"67",2000,1,3,315502,55.421667,-131.951333,1
"68",2000,1,4,315502,55.013833,-131.722,1
"69",2000,1,5,315502,55.068167,-131.8325,1
"70",2000,1,6,315502,55.1815,-131.900167,1
"71",2000,1,8,315502,55.294333,-131.934333,1
"72",2000,1,9,315502,55.3295,-131.999333,3
"73",2000,1,11,325531,55.568333,-132.225333,1
"74",2000,1,12,325531,55.5795,-132.278333,1
"75",2000,1,13,325531,55.653333,-132.3195,1
"76",2000,1,15,325531,55.604667,-132.2725,3
"77",2000,1,17,325531,55.502,-132.134667,2
"78",2000,2,2,315432,54.920167,-131.86,15
"79",2000,2,4,315432,54.888833,-131.930667,11
"80",2000,2,6,315432,54.799167,-131.844333,12
"81",2000,2,8,315432,54.698667,-131.735,9
"82",2000,2,12,315401,54.482667,-131.816167,5
"83",2000,2,14,315431,54.629167,-131.692667,6
"84",2000,2,16,315432,54.7725,-131.7125,2
"85",2000,2,17,315432,54.779333,-131.698667,1
"86",2000,2,18,315432,54.862833,-131.7105,1
"87",2001,1,1,325531,55.633,-132.312333,3
"88",2001,1,4,325531,55.607667,-132.276167,2
"89",2001,1,5,325531,55.5795,-132.277,3
"90",2001,1,9,325531,55.502333,-132.135833,1
"91",2001,1,10,315502,55.473833,-131.984667,2
"92",2001,1,13,315502,55.3455,-131.981833,3
"93",2001,1,15,315502,55.293,-131.934833,1
"94",2001,1,16,315502,55.232,-131.937333,2
"95",2001,1,18,315502,55.044833,-131.8165,4
"96",2001,2,1,315432,54.905667,-131.804333,15
"97",2001,2,2,315432,54.899167,-131.859167,3
"98",2001,2,4,315432,54.7705,-131.844333,6
"99",2001,2,5,315432,54.81,-131.883333,1
"100",2001,2,6,315432,54.75,-131.730167,4
"101",2001,2,7,315432,54.697167,-131.735167,2
"102",2001,2,8,315432,54.789333,-131.697667,3
"103",2001,2,9,315432,54.77,-131.713333,3
"104",2001,2,10,315432,54.839167,-131.712,3
"105",2001,2,11,315432,54.8875,-131.930833,9
"106",2001,2,12,315432,54.691333,-131.901167,1
"107",2001,2,13,315431,54.625667,-131.692833,1
"108",2001,2,14,315431,54.536333,-131.7985,2
"109",2002,1,1,325531,55.6525,-132.32,7
"110",2002,1,2,325531,55.628,-132.276,5
"111",2002,1,3,325531,55.62805,-132.276,1
"112",2002,1,4,325531,55.584,-132.25475,4
"113",2002,1,5,325531,55.579833,-132.278,3
"114",2002,1,6,325531,55.56875,-132.226717,3
"115",2002,1,8,325531,55.534867,-132.113867,5
"116",2002,1,9,325531,55.524667,-132.1425,1
"117",2002,1,10,315502,55.48625,-132.024267,3
"118",2002,1,11,315502,55.432,-131.986333,6
"119",2002,1,12,315502,55.4,-131.931633,7
"120",2002,1,13,315502,55.013167,-131.722,6
"121",2002,1,14,315502,55.068667,-131.8345,18
"122",2002,1,16,315502,55.232333,-131.937333,1
"123",2002,1,17,315502,55.292667,-131.935,1
"124",2002,1,18,315502,55.307167,-131.9775,18
"125",2002,1,19,315502,55.344833,-131.982167,2
"126",2002,2,1,315432,54.908,-131.803217,6
"127",2002,2,2,315432,54.899833,-131.858417,5
"128",2002,2,3,315432,54.875333,-131.941667,3
"129",2002,2,4,315432,54.9075,-131.928333,7
"130",2002,2,8,315401,54.482333,-131.816333,1
"131",2002,2,9,315431,54.509,-131.800167,3
"132",2002,2,10,315431,54.650833,-131.688667,8
"133",2002,2,11,315432,54.687667,-131.901167,2
"134",2002,2,12,315432,54.746833,-131.730167,7
"135",2002,2,13,315432,54.699167,-131.735167,9
"136",2002,2,14,315432,54.8135,-131.884333,12
"137",2002,2,15,315432,54.7985,-131.843833,5
"138",2002,2,16,315432,54.796333,-131.7125,10
"139",2002,2,17,315432,54.839833,-131.711667,2
"140",2002,2,18,315432,54.802167,-131.699167,6
"141",2003,1,1,325531,55.6325,-132.312,13
"142",2003,1,2,325531,55.626,-132.275,7
"143",2003,1,3,325531,55.601083,-132.2394,7
"144",2003,1,4,325531,55.607333,-132.275167,12
"145",2003,1,5,325531,55.5785,-132.310833,4
"146",2003,1,7,325531,55.535833,-132.115667,1
"147",2003,1,9,325531,55.501667,-132.146,5
"148",2003,1,10,315502,55.4735,-131.983833,3
"149",2003,1,11,315502,55.433667,-131.987667,15
"150",2003,1,12,315502,55.422833,-131.9515,2
"151",2003,1,13,315502,54.989,-131.7135,3
"152",2003,1,14,315502,55.047167,-131.819333,8
"153",2003,1,16,315502,55.231833,-131.937333,4
"154",2003,1,17,315502,55.2925,-131.934333,2
"155",2003,1,18,315502,55.307667,-131.978167,17
"156",2003,1,19,315502,55.345167,-131.981333,11
"157",2003,2,2,325431,54.52495,-132.631167,1
"158",2003,2,3,325401,54.467,-132.583167,1
"159",2003,2,4,315401,54.482333,-131.816267,1
"160",2003,2,7,315432,54.8125,-131.884333,3
"161",2003,2,8,315432,54.775333,-131.844833,2
"162",2003,2,9,315432,54.747167,-131.730167,8
"163",2003,2,11,315432,54.6975,-131.734833,2
"164",2003,2,13,315432,54.771833,-131.713333,1
"165",2003,2,15,315432,54.85,-131.940833,3
"166",2003,2,16,315432,54.8895,-131.931,11
"167",2003,2,17,315432,54.901667,-131.855,6
"168",2003,2,18,315432,54.905167,-131.803333,4
"169",2004,1,1,325531,55.651667,-132.318333,9
"170",2004,1,2,325531,55.648,-132.284133,57
"171",2004,1,3,325531,55.6235,-132.2605,1
"172",2004,1,4,325531,55.609167,-132.277667,33
"173",2004,1,5,325531,55.601483,-132.295133,7
"174",2004,1,6,325531,55.5885,-132.248333,11
"175",2004,1,7,325531,55.543167,-132.173333,2
"176",2004,1,8,325531,55.548167,-132.153167,5
"177",2004,1,9,325531,55.524,-132.143167,2
"178",2004,1,10,315502,55.486167,-132.0245,7
"179",2004,1,11,315502,55.422,-131.951667,3
"180",2004,1,12,315502,55.4315,-131.987167,11
"181",2004,1,13,315502,54.9885,-131.712333,4
"182",2004,1,14,315502,55.045333,-131.817333,22
"183",2004,1,17,315502,55.318333,-131.929833,16
"184",2004,1,18,315502,55.307333,-131.977167,7
"185",2004,1,19,315502,55.3685,-131.983,17
"186",2004,2,1,325401,54.473833,-132.362333,1
"187",2004,2,4,315401,54.507833,-131.816,1
"188",2004,2,5,315431,54.532167,-131.798333,4
"189",2004,2,6,315431,54.6285,-131.6925,1
"190",2004,2,7,315432,54.662167,-131.9045,1
"191",2004,2,9,315432,54.832667,-131.696333,2
"192",2004,2,10,315432,54.728167,-131.7315,3
"193",2004,2,11,315432,54.772,-131.7125,6
"194",2004,2,12,315432,54.905667,-131.803,4
"195",2004,2,13,315432,54.875333,-131.941667,9
"196",2004,2,14,315432,54.919833,-131.860333,1
"197",2004,2,15,315432,54.885,-131.931,11
"198",2004,2,16,315432,54.812667,-131.883333,7
"199",2004,2,17,315432,54.800167,-131.844,6
"200",2006,1,1,325531,55.632833,-132.312833,5
"201",2006,1,2,325531,55.601833,-132.240167,6
"202",2006,1,3,325531,55.626833,-132.275333,7
"203",2006,1,4,325531,55.584167,-132.2535,4
"204",2006,1,5,325531,55.578,-132.274833,3
"205",2006,1,6,325531,55.566833,-132.2245,3
"206",2006,1,7,325531,55.535667,-132.115,1
"207",2006,1,8,325531,55.5185,-132.160333,1
"208",2006,1,9,325531,55.502167,-132.143333,2
"209",2006,1,10,315502,55.474167,-131.984167,7
"210",2006,1,11,315502,55.406167,-131.981667,4
"211",2006,1,12,315502,55.422667,-131.9525,5
"212",2006,1,13,315502,55.3685,-131.982167,3
"213",2006,1,14,315502,55.013667,-131.721833,6
"214",2006,1,15,315502,55.068,-131.822833,3
"215",2006,1,16,315502,55.1595,-131.909667,1
"216",2006,1,17,315502,55.255,-131.929667,2
"217",2006,1,18,315502,55.331833,-132.002167,3
"218",2006,1,19,315502,55.317,-131.929833,5
"219",2006,2,1,315431,54.628833,-131.6925,21
"220",2006,2,2,315401,54.480667,-131.8165,15
"221",2006,2,3,315431,54.5095,-131.800167,17
"222",2006,2,5,325401,54.466167,-132.5415,2
"223",2006,2,8,315432,54.718667,-131.734,16
"224",2006,2,9,315432,54.7275,-131.7315,14
"225",2006,2,10,315432,54.772667,-131.7125,17
"226",2006,2,11,315432,54.776,-131.844833,29
"227",2006,2,12,315432,54.812833,-131.884,135
"228",2006,2,13,315432,54.839167,-131.711833,2
"229",2006,2,14,315432,54.8065,-131.696167,13
"230",2006,2,15,315432,54.850167,-131.941,53
"231",2006,2,16,315432,54.889,-131.931167,107
"232",2006,2,17,315432,54.900667,-131.858333,13
"233",2006,2,18,315432,54.924667,-131.802667,81
"234",2007,1,1,325531,55.6535,-132.318833,47
"235",2007,1,2,325531,55.648167,-132.284,30
"236",2007,1,3,325531,55.623333,-132.260667,6
"237",2007,1,4,325531,55.648167,-132.284,20
"238",2007,1,5,325531,55.5785,-132.2765,4
"239",2007,1,6,325531,55.568667,-132.2255,7
"240",2007,1,7,325531,55.518167,-132.159833,1
"241",2007,1,8,325531,55.535,-132.1135,1
"242",2007,1,9,325531,55.501,-132.134333,4
"243",2007,1,10,315502,55.473667,-131.983,2
"244",2007,1,11,315502,55.400333,-131.933333,4
"245",2007,1,13,315502,54.988167,-131.712,13
"246",2007,1,14,315502,55.047,-131.817333,5
"247",2007,1,17,315502,55.292333,-131.934833,1
"248",2007,1,18,315502,55.307,-131.976667,20
"249",2007,1,19,315502,55.368667,-131.982833,1
"250",2007,2,4,315401,54.482167,-131.816,16
"251",2007,2,5,315431,54.532333,-131.798833,5
"252",2007,2,6,315431,54.628,-131.692,63
"253",2007,2,7,315432,54.662,-131.9045,4
"254",2007,2,8,315432,54.698667,-131.734833,38
"255",2007,2,9,315432,54.806667,-131.6965,9
"256",2007,2,10,315432,54.746333,-131.7305,47
"257",2007,2,11,315432,54.773833,-131.7125,28
"258",2007,2,12,315432,54.906167,-131.803333,56
"259",2007,2,13,315432,54.8345,-131.9405,16
"260",2007,2,14,315432,54.901333,-131.858333,66
"261",2007,2,15,315432,54.8895,-131.931,21
"262",2007,2,16,315432,54.837667,-131.880167,15
"263",2007,2,17,315432,54.775667,-131.844833,37
"264",2007,2,18,315432,54.8395,-131.713,1
"265",2008,1,1,315502,55.421833,-131.953,11
"266",2008,1,2,315502,55.4055,-131.982667,1
"267",2008,1,3,315502,55.474167,-131.985167,13
"268",2008,1,5,325531,55.631667,-132.312333,11
"269",2008,1,6,325531,55.648667,-132.284,5
"270",2008,1,7,325531,55.579,-132.2775,7
"271",2008,1,8,325531,55.623667,-132.260833,3
"272",2008,1,9,325531,55.6075,-132.275,13
"273",2008,1,10,325531,55.589167,-132.249667,1
"274",2008,1,12,325531,55.548,-132.152667,3
"275",2008,1,13,315502,55.013333,-131.723333,9
"276",2008,1,14,315502,55.067667,-131.8235,1
"277",2008,1,16,315502,55.255333,-131.929333,1
"278",2008,1,17,315502,55.293167,-131.934667,10
"279",2008,1,18,315502,55.330667,-132.000667,1
"280",2008,1,19,315502,55.3675,-131.982667,8
"281",2008,2,4,315431,54.651667,-131.688833,50
"282",2008,2,5,315401,54.508167,-131.815833,27
"283",2008,2,6,315431,54.532,-131.798333,15
"284",2008,2,7,315432,54.688333,-131.951167,13
"285",2008,2,8,315432,54.7195,-131.733833,36
"286",2008,2,9,315432,54.753,-131.729667,33
"287",2008,2,10,315432,54.795333,-131.713167,30
"288",2008,2,11,315432,54.838,-131.880167,63
"289",2008,2,12,315432,54.799333,-131.843667,31
"290",2008,2,13,315432,54.806167,-131.6965,12
"291",2008,2,14,315432,54.864167,-131.71,12
"292",2008,2,15,315432,54.873833,-131.942167,52
"293",2008,2,16,315432,54.9135,-131.927167,70
"294",2008,2,17,315432,54.927333,-131.861,65
"295",2008,2,18,315432,54.9045,-131.804,41
"296",2009,1,1,325531,55.652833,-132.317833,45
"297",2009,1,2,325531,55.647833,-132.284,27
"298",2009,1,3,325531,55.601667,-132.295667,16
"299",2009,1,4,325531,55.602,-132.240167,5
"300",2009,1,5,325531,55.583333,-132.253167,50
"301",2009,1,6,325531,55.569333,-132.226833,2
"302",2009,1,7,325531,55.535167,-132.114167,3
"303",2009,1,9,325531,55.5015,-132.135167,1
"304",2009,1,10,315502,55.473667,-131.983833,8
"305",2009,1,11,315502,55.401333,-131.934,2
"306",2009,1,12,315502,55.406333,-131.982,7
"307",2009,1,13,315502,54.988167,-131.712333,14
"308",2009,1,14,315502,55.047833,-131.817667,12
"309",2009,1,15,315502,55.183167,-131.901333,3
"310",2009,1,16,315502,55.254667,-131.9295,4
"311",2009,1,17,315502,55.317833,-131.929,6
"312",2009,1,18,315502,55.330167,-132.000667,9
"313",2009,2,1,315432,54.92065,-131.802933,64
"314",2009,2,2,315432,54.920167,-131.860333,19
"315",2009,2,3,315432,54.907333,-131.927667,32
"316",2009,2,4,315432,54.849333,-131.940667,41
"317",2009,2,5,315432,54.842833,-131.711,1
"318",2009,2,6,315432,54.837833,-131.880333,27
"319",2009,2,7,315432,54.775667,-131.845333,36
"320",2009,2,8,315432,54.773,-131.7115,14
"321",2009,2,9,315432,54.8325,-131.6955,15
"322",2009,2,10,315432,54.699,-131.734667,34
"323",2009,2,11,315432,54.726667,-131.73,26
"324",2009,2,13,315431,54.628333,-131.692833,65
"325",2009,2,14,315401,54.4825,-131.816333,7
"326",2009,2,15,315431,54.509,-131.7995,5
"327",2009,2,16,325431,54.524833,-132.676167,2
"328",2010,1,1,325531,55.653167,-132.318833,38
"329",2010,1,2,325531,55.649,-132.284333,14
"330",2010,1,3,325531,55.633667,-132.260167,2
"331",2010,1,4,325531,55.609833,-132.276667,11
"332",2010,1,5,325531,55.6055,-132.298167,9
"333",2010,1,6,325531,55.5905,-132.2505,1
"334",2010,1,7,325531,55.549167,-132.157,2
"335",2010,1,8,325531,55.543167,-132.174667,1
"336",2010,1,9,325531,55.525167,-132.143667,6
"337",2010,1,10,315502,55.4875,-132.028333,1
"338",2010,1,11,315502,55.4325,-131.9875,10
"339",2010,1,13,315502,55.2545,-131.929,2
"340",2010,1,14,315502,55.318333,-131.929333,1
"341",2010,1,15,315502,55.368167,-131.982333,11
"342",2010,1,16,315502,55.330667,-132.001167,5
"343",2010,1,17,315502,55.182667,-131.901667,3
"344",2010,1,18,315502,55.0125,-131.7215,2
"345",2010,1,19,315502,55.071833,-131.825,14
"346",2010,2,1,315432,54.90645,-131.803167,34
"347",2010,2,2,315432,54.851,-131.940667,80
"348",2010,2,3,315432,54.935283,-131.859967,38
"349",2010,2,4,315432,54.89005,-131.93055,38
"350",2010,2,7,315401,54.48155,-131.814967,15
"351",2010,2,8,315431,54.509083,-131.8009,74
"352",2010,2,9,315432,54.8635,-131.71125,1
"353",2010,2,10,315432,54.806467,-131.696267,2
"354",2010,2,11,315432,54.811717,-131.886083,36
"355",2010,2,12,315432,54.727,-131.732167,25
"356",2010,2,13,315432,54.782117,-131.843833,12
"357",2010,2,14,315432,54.796283,-131.713267,11
"358",2010,2,15,315432,54.68605,-131.748767,19
"359",2010,2,16,315431,54.651133,-131.6893,13
"360",2011,1,1,325531,55.653533,-132.318783,20
"361",2011,1,2,325531,55.648483,-132.284067,8
"362",2011,1,4,325531,55.6059,-132.27425,15
"363",2011,1,5,325531,55.59,-132.250333,1
"364",2011,1,6,325531,55.60285,-132.296683,1
"365",2011,1,8,325531,55.530167,-132.119333,1
"366",2011,1,10,315502,55.47,-131.975333,6
"367",2011,1,11,315502,55.400833,-131.9339,1
"368",2011,1,12,315502,55.405667,-131.981833,3
"369",2011,1,13,315502,55.3685,-131.982333,7
"370",2011,1,14,315502,55.307667,-131.977533,5
"371",2011,1,15,315502,55.293233,-131.934433,4
"372",2011,1,18,315502,55.067783,-131.823533,7
"373",2011,1,19,315502,55.013667,-131.722083,2
"374",2011,2,2,325401,54.466833,-132.543,1
"375",2011,2,4,315431,54.534,-131.797833,18
"376",2011,2,5,315401,54.509333,-131.816667,11
"377",2011,2,6,315431,54.626667,-131.693667,14
"378",2011,2,7,315432,54.904833,-131.800667,20
"379",2011,2,8,315432,54.920833,-131.860833,39
"380",2011,2,9,315432,54.908333,-131.926667,29
"381",2011,2,10,315432,54.837833,-131.711167,11
"382",2011,2,11,315432,54.806,-131.6945,8
"383",2011,2,12,315432,54.7965,-131.711667,13
"384",2011,2,14,315432,54.6985,-131.735333,18
"385",2011,2,15,315432,54.729333,-131.731667,12
"386",2011,2,16,315432,54.799833,-131.843833,18
"387",2011,2,17,315432,54.838833,-131.880167,17
"388",2011,2,18,315432,54.8495,-131.938667,27
"389",2012,1,1,325531,55.632333,-132.312167,25
"390",2012,1,2,325531,55.584667,-132.2545,62
"391",2012,1,3,325531,55.601833,-132.237333,3
"392",2012,1,4,325531,55.6245,-132.273667,59
"393",2012,1,5,325531,55.578167,-132.276667,6
"394",2012,1,6,325531,55.590683,-132.25055,5
"395",2012,1,7,325531,55.535283,-132.1139,3
"396",2012,1,9,325531,55.52465,-132.14285,3
"397",2012,1,10,315502,55.431717,-131.9874,17
"398",2012,1,11,315502,55.486333,-132.022167,5
"399",2012,1,12,315502,55.4215,-131.95245,11
"400",2012,1,13,315502,55.330167,-132.0005,12
"401",2012,1,14,315502,55.368167,-131.983,14
"402",2012,1,15,315502,55.316667,-131.9285,13
"403",2012,1,16,315502,55.184267,-131.901167,1
"404",2012,1,17,315502,55.255167,-131.929,1
"405",2012,1,18,315502,55.067167,-131.822833,16
"406",2012,1,19,315502,55.013333,-131.721833,5
"407",2012,2,1,315432,54.906,-131.803333,54
"408",2012,2,2,315432,54.893167,-131.857333,49
"409",2012,2,3,315432,54.907167,-131.928333,33
"410",2012,2,4,315432,54.874833,-131.941833,31
"411",2012,2,8,315432,54.775667,-131.8455,31
"412",2012,2,9,315432,54.812333,-131.8835,12
"413",2012,2,10,315432,54.809,-131.698333,5
"414",2012,2,11,315432,54.864,-131.71,1
"415",2012,2,12,315432,54.7955,-131.712833,12
"416",2012,2,13,315432,54.752,-131.7295,13
"417",2012,2,14,315432,54.718,-131.733333,11
"418",2012,2,15,315432,54.687333,-131.901167,3
"419",2012,2,16,315431,54.628833,-131.693,23
"420",2012,2,17,315431,54.532833,-131.798,15
"421",2012,2,18,315401,54.508333,-131.815,7
"422",2013,1,1,325533,55.811833,-132.479333,60
"423",2013,1,2,325531,55.681167,-132.308,32
"424",2013,1,3,325533,55.801,-132.4155,16
"425",2013,1,4,315431,54.662717,-131.795367,3
"426",2013,1,5,315431,54.5475,-131.734333,3
"427",2013,1,7,315431,54.613667,-131.950167,4
"428",2013,1,9,315431,54.5455,-131.853167,1
"429",2013,1,10,315502,55.445,-132.088167,3
"430",2013,1,11,325531,55.544833,-132.205333,9
"431",2013,1,12,315502,55.330833,-131.970667,70
"432",2013,1,13,315502,55.1755,-131.904333,2
"433",2013,1,14,315502,55.025183,-131.825117,24
"434",2013,1,15,315502,55.087,-131.765167,2
"435",2013,2,1,315432,54.843667,-131.667667,2
"436",2013,2,2,315432,54.684,-131.6955,11
"437",2013,2,3,315432,54.713833,-131.841,11
"438",2013,2,5,325431,54.511,-132.59,3
"439",2013,2,6,315432,54.808667,-131.929333,29
"440",2013,2,7,315432,54.84,-131.846833,7
"441",2013,2,8,315432,54.889667,-131.834,25
"442",2013,2,9,315432,54.9525,-131.918167,7
"443",2013,2,10,315432,54.9955,-131.8385,19
"444",2013,2,12,325401,54.455333,-132.316167,1
"445",2014,1,1,325401,54.446833,-132.017,1
"446",2014,1,5,315431,54.549167,-131.733667,6
"447",2014,1,7,315502,55.200833,-131.907667,1
"448",2014,1,8,315502,55.051,-131.827333,43
"449",2014,1,9,315502,55.107167,-131.794333,5
"450",2014,1,10,315502,55.307333,-131.994333,45
"451",2014,1,11,325533,55.812833,-132.4795,51
"452",2014,1,12,325533,55.782667,-132.400167,84
"453",2014,1,13,325531,55.7055,-132.327333,29
"454",2014,1,14,325531,55.589,-132.249333,10
"455",2014,1,15,315502,55.473833,-131.983667,5
"456",2014,2,7,315432,54.7485,-131.910367,4
"457",2014,2,8,315432,54.683833,-131.695533,2
"458",2014,2,9,315432,54.738,-131.841,2
"459",2014,2,11,315432,54.907167,-131.80335,7
"460",2014,2,12,315432,54.812833,-131.883333,4
"461",2014,2,13,315432,54.977,-131.916467,23
"462",2014,2,14,315432,54.970667,-131.839333,5
"463",2015,1,4,315431,54.54735,-131.73445,2
"464",2015,1,7,315502,55.1767,-131.903817,8
"465",2015,1,8,315502,55.107117,-131.794383,2
"466",2015,1,9,315502,55.03075,-131.727383,27
"467",2015,1,10,315502,55.329667,-131.999767,24
"468",2015,1,11,325533,55.812433,-132.479317,12
"469",2015,1,12,325533,55.7834,-132.400833,27
"470",2015,1,13,325531,55.705117,-132.3276,23
"471",2015,1,14,325531,55.588083,-132.248383,4
"472",2015,1,15,315502,55.485917,-132.02345,19
"473",2015,2,3,325431,54.511617,-132.635333,12
"474",2015,2,7,315432,54.748817,-131.909833,263
"475",2015,2,8,315432,54.708333,-131.694367,10
"476",2015,2,9,315432,54.737367,-131.8406,184
"477",2015,2,10,315432,54.818617,-131.685833,7
"478",2015,2,11,315432,54.8122,-131.883767,131
"479",2015,2,12,315432,54.925683,-131.8033,99
"480",2015,2,13,315432,54.953183,-131.9184,43
"481",2015,2,14,315432,54.9711,-131.839617,190
"482",2016,1,2,315431,54.61367,-131.95017,1
"483",2016,1,3,315431,54.5455,-131.85317,1
"484",2016,1,4,315431,54.66272,-131.79537,1
"485",2016,1,5,315431,54.5475,-131.73433,2
"486",2016,1,6,315431,54.56298,-131.66858,1
"487",2016,1,8,315502,55.031167,-131.727667,1
"488",2016,1,9,315502,55.087,-131.76517,1
"489",2016,1,13,325533,55.81183,-132.47933,5
"490",2016,1,14,325533,55.801,-132.4155,4
"491",2016,1,15,325531,55.68117,-132.308,2
"492",2016,2,1,315432,54.77438,-131.91015,7
"493",2016,2,2,315432,54.70698,-131.69368,2
"494",2016,2,3,315432,54.7375,-131.84117,2
"495",2016,2,5,325401,54.45448,-132.39865,1
"496",2016,2,6,325431,54.51067,-132.6342,1
"497",2016,2,7,325401,54.455,-132.316,1
"498",2016,2,10,315432,54.9718,-131.83903,1
"499",2016,2,11,315432,54.9533,-131.9185,4
"500",2016,2,13,315432,54.84397,-131.6683,1
"501",2017,1,1,325533,55.834743,-132.49768,3
"502",2017,1,2,325531,55.70434,-132.327,2
"503",2017,1,3,325533,55.800453,-132.41493,3
"504",2017,1,7,315431,54.524117,-131.735033,2
"505",2017,1,9,315431,54.589817,-131.667783,1
"506",2017,1,11,315502,55.0076,-131.71982,3
"507",2017,1,12,315502,55.175507,-131.90442,2
"508",2017,1,13,315502,55.107217,-131.760983,1
"509",2017,1,15,315502,55.47413,-131.9838,1
"510",2017,2,4,315432,54.7754,-131.90985,3
"511",2017,2,6,315432,54.713667,-131.840833,5
"512",2017,2,10,315432,54.819233,-131.685617,1
"513",2017,2,11,315432,54.81235,-131.88295,4
"514",2017,2,12,315432,54.992553,-131.802567,5
"515",2017,2,13,315432,54.952917,-131.918433,1
"516",2018,1,2,325531,55.704693,-132.32738,1
"517",2018,1,3,325533,55.798992,-132.41356,1
"518",2018,1,6,315502,NA,NA,1
"519",2018,1,9,315431,54.572773,-131.8639,1
"520",2018,1,10,315502,NA,NA,3
"521",2018,1,11,315502,NA,NA,1
"522",2018,1,12,315502,55.030457,-131.7271,4
"523",2018,1,14,315431,54.525112,-131.73445,2
"524",2018,2,1,315432,NA,NA,17
"525",2018,2,2,315432,54.9872,-131.919,1
"526",2018,2,3,315432,54.9872,-131.919,5
"527",2018,2,4,315432,NA,NA,1
"528",2018,2,5,315432,54.843647,-131.66795,2
"529",2018,2,6,315432,NA,NA,3
"530",2018,2,10,315432,NA,NA,1
"531",2018,2,11,315432,54.71328,-131.84087,1
"532",2018,2,14,325401,54.454876,-132.26904,1
